quantile, percentile, hc, ccyy
72, 126143, 120772.84, mx10
73, 129453, 123429.32, mx10
74, 133082, 118889.2, mx10
75, 136824, 124244.69, mx10
76, 141148, 131780.68, mx10
77, 145181, 139591.59, mx10
78, 149589, 135537.08, mx10
79, 153851, 131174.95, mx10
80, 158499.5, 145028.68, mx10
81, 163443, 140467.36, mx10
82, 168974, 142043.09, mx10
83, 175877, 152586.76, mx10
84, 182081, 164973.61, mx10
85, 189078, 156949.52, mx10
86, 196321, 171710.04, mx10
87, 204806, 166921.52, mx10
88, 213536, 173440.52, mx10
89, 223659, 186289.5, mx10
90, 233915, 187221.82, mx10
91, 247009, 196886.16, mx10
92, 261930, 208494.64, mx10
93, 282527, 217751.84, mx10
94, 302561, 224928.89, mx10
95, 330336, 246613.29, mx10
96, 367211, 252868.74, mx10
97, 414122, 299477.74, mx10
98, 490332, 324158.76, mx10
99, 643827, 389095.68, mx10
100, ., 605377.06, mx10
1, -91, 13368.685, pe10
2, 94, 12721.056, pe10
3, 290, 6313.9005, pe10
4, 496, 5454.2991, pe10
5, 674, 6242.7109, pe10
6, 884, 6069.7196, pe10
7, 1115, 6180.2524, pe10
8, 1311, 6786.7535, pe10
9, 1513, 6497.1462, pe10
10, 1715, 7665.9333, pe10
11, 1909, 6796.9061, pe10
12, 2139, 7430.3538, pe10
13, 2370, 7472.1028, pe10
14, 2573, 7770.3412, pe10
15, 2784, 8510.684, pe10
16, 3018, 9702.9906, pe10
17, 3251, 8809.717, pe10
18, 3507, 8952.9155, pe10
19, 3756, 9579.2535, pe10
20, 3999, 9232.3803, pe10
21, 4232, 9792.3555, pe10
22, 4497, 10379.835, pe10
23, 4764, 9189.2347, pe10
24, 5013, 11007.552, pe10
25, 5264.5, 10556.123, pe10
26, 5515, 11171.601, pe10
27, 5812, 11644.703, pe10
28, 6102, 11766.788, pe10
29, 6386, 11175.252, pe10
30, 6681, 11920.635, pe10
31, 7013, 11852.58, pe10
32, 7292, 12932.248, pe10
33, 7572, 12455.829, pe10
34, 7870, 12681.453, pe10
35, 8176, 12534.19, pe10
36, 8455, 13581.236, pe10
37, 8783, 13658.533, pe10
38, 9065, 14191.566, pe10
39, 9418, 14821.142, pe10
40, 9684, 14593.135, pe10
41, 10004, 14709.128, pe10
42, 10293, 14534.637, pe10
43, 10602, 14277.042, pe10
44, 10926, 15324.557, pe10
45, 11225, 15814.566, pe10
46, 11574, 16613.341, pe10
47, 11927, 17107.481, pe10
48, 12303, 16860.038, pe10
49, 12607, 17121.081, pe10
50, 12918, 16514.313, pe10
51, 13272, 17938.75, pe10
52, 13578, 17431.915, pe10
53, 13946, 18203.612, pe10
54, 14274, 19372.351, pe10
55, 14657, 18473.821, pe10
56, 15048, 18332.533, pe10
57, 15465, 19114.901, pe10
58, 15825, 19639.689, pe10
59, 16228, 19084.486, pe10
60, 16673, 20540.606, pe10
61, 17184, 20822.755, pe10
62, 17664, 21338.071, pe10
63, 18132, 21154.377, pe10
64, 18564, 21981.057, pe10
65, 19067, 22788.967, pe10
66, 19555, 23347.929, pe10
67, 20103, 22490.434, pe10
68, 20589, 24469.239, pe10
69, 21115, 22736.547, pe10
70, 21622, 23543.594, pe10
71, 22192, 23593.887, pe10
72, 22793, 24608.967, pe10
73, 23427, 25021.141, pe10
74, 24015, 25480.972, pe10
75, 24689.5, 26035.505, pe10
76, 25358, 27121.657, pe10
77, 26002, 28051.319, pe10
78, 26971, 27776.469, pe10
79, 27819, 27859.554, pe10
80, 28716, 28407.217, pe10
81, 29663, 29828.646, pe10
82, 30595, 29627.66, pe10
83, 31762, 29389.793, pe10
84, 32897, 32334.382, pe10
85, 34082, 31993.288, pe10
86, 35428, 33086.268, pe10
87, 36752, 32628.057, pe10
88, 38296, 33970.717, pe10
89, 39939, 36864.892, pe10
90, 42000, 34550.304, pe10
91, 44153, 39389.948, pe10
92, 46421, 39386.764, pe10
93, 49186, 40221.526, pe10
94, 52194, 40331.132, pe10
95, 56357, 43404.835, pe10
96, 62213, 45053.292, pe10
97, 69358, 47967.737, pe10
98, 80549, 55559.858, pe10
99, 103403, 56834.406, pe10
100, ., 73829.09, pe10
1, 4963, 610332.27, rs10
2, 60000, 400023.61, rs10
3, 86318, 342061.06, rs10
4, 100800, 335599.1, rs10
5, 114000, 235201.66, rs10
6, 124800, 350630.03, rs10
7, 133471, 269310.37, rs10
8, 144000, 263023.87, rs10
9, 148934, 304995.24, rs10
10, 156132, 282282.63, rs10
11, 166578, 275422.77, rs10
12, 175870, 276631.07, rs10
13, 180000, 397156.14, rs10
14, 188076, 343479.64, rs10
15, 192000, 316692.6, rs10
16, 199129, 386269.6, rs10
17, 204000, 347526.96, rs10
18, 214400, 390254.05, rs10
19, 216000, 366308.78, rs10
20, 224104, 344266.13, rs10
21, 233572, 385327.37, rs10
22, 240000, 424826.79, rs10
23, 240000, ., rs10
24, 247200, 467022.56, rs10
25, 252000, 436864.09, rs10
26, 262008, 354688.66, rs10
27, 264000, 440068.81, rs10
28, 270524, 394712.15, rs10
29, 278400, 437171.87, rs10
30, 285738, 465012.37, rs10
31, 292506, 487203.9, rs10
32, 300000, 475072.57, rs10
33, 301811, 417659.5, rs10
34, 312000, 483102.49, rs10
35, 321791, 418336.8, rs10
36, 332780, 457976.16, rs10
37, 342000, 539370, rs10
38, 351831, 442479.87, rs10
39, 360000, 525418.15, rs10
40, 360000, ., rs10
41, 368008, 521867.24, rs10
42, 375828, 595448.98, rs10
43, 384000, 528610.43, rs10
44, 389382, 445935.75, rs10
45, 397680, 566611.5, rs10
46, 408000, 517999.23, rs10
47, 416143, 460046.91, rs10
48, 422433, 579427.51, rs10
49, 432000, 576980.5, rs10
50, 442308, 601770.18, rs10
51, 454792, 627909.16, rs10
52, 457176, 623910.21, rs10
53, 468000, 549014.27, rs10
54, 478073, 679165.78, rs10
55, 480000, 664906.69, rs10
56, 486000, 627066.89, rs10
57, 494400, 550522.4, rs10
58, 504000, 616262.51, rs10
59, 513000, 696897.07, rs10
60, 528000, 634937.63, rs10
61, 534680, 712302.77, rs10
62, 540000, 672950.51, rs10
63, 552000, 601448.33, rs10
64, 564000, 710075.64, rs10
65, 576000, 745111.04, rs10
66, 588000, 735183.07, rs10
67, 600000, 809923.47, rs10
68, 609600, 719091, rs10
69, 623271, 690218.26, rs10
70, 631314, 776237.54, rs10
71, 645600, 788128.72, rs10
72, 660000, 726967.76, rs10
73, 672000, 876278.4, rs10
74, 685183, 715263.1, rs10
75, 701959, 801562.55, rs10
76, 719680, 791425.95, rs10
77, 724964, 894257.84, rs10
78, 742611, 844657.17, rs10
79, 754400, 827931.2, rs10
80, 768000, 802595.23, rs10
81, 781946, 874713.46, rs10
82, 804000, 825092.65, rs10
83, 828000, 885952.2, rs10
84, 848851, 862843.49, rs10
85, 878111, 765650.55, rs10
86, 900000, 991247.81, rs10
87, 923046, 1075513, rs10
88, 954240, 1065482.3, rs10
89, 972000, 1051932, rs10
90, 1012800, 983075.05, rs10
91, 1044000, 983677.06, rs10
92, 1083236, 1004465, rs10
93, 1140000, 1060971, rs10
94, 1200000, 1101061.9, rs10
95, 1245240, 1092885.9, rs10
96, 1322275, 979663.9, rs10
97, 1440000, 1200883.3, rs10
98, 1566863, 1315079.5, rs10
99, 1902000, 1224034.4, rs10
100, ., 1460806.1, rs10
1, 1641, 12435.079, si10
2, 2824, 14856.921, si10
3, 4010, 13748.472, si10
4, 4978, 9801.3243, si10
5, 5686, 10858.838, si10
6, 6113, 9358.3939, si10
7, 6540, 12215.5, si10
8, 6966, 11393.028, si10
9, 7574, 12303.846, si10
10, 7906, 12479.795, si10
11, 8478, 12727.441, si10
12, 8810, 12966.167, si10
13, 9208, 12948.081, si10
14, 9618, 12837.351, si10
15, 10001, 16844.778, si10
16, 10329, 16568.595, si10
17, 10824, 16247.026, si10
18, 11223, 16844.97, si10
19, 11547, 17566.108, si10
20, 11913, 18477.892, si10
21, 12257, 16429.667, si10
22, 12617, 18572.389, si10
23, 12953, 18302.343, si10
24, 13308, 18166.971, si10
25, 13552.5, 16780.4, si10
26, 13959, 17183.487, si10
27, 14254, 19511.343, si10
28, 14614, 20126.622, si10
29, 14869, 20335.297, si10
30, 15181, 19155.538, si10
31, 15530, 18093.229, si10
32, 15758, 18354.553, si10
33, 16005, 20530.114, si10
34, 16254, 22142.436, si10
35, 16647, 20658.314, si10
36, 16946, 19745.744, si10
37, 17275, 19740.026, si10
38, 17585, 21291.368, si10
39, 17899, 20287.686, si10
40, 18203, 21631.595, si10
41, 18450, 20687.211, si10
42, 18784, 22964.8, si10
43, 19107, 22857.25, si10
44, 19425, 21674.806, si10
45, 19708, 22823.324, si10
46, 19999, 22583.658, si10
47, 20309, 23587.622, si10
48, 20622, 22241.757, si10
49, 20987, 22199.361, si10
50, 21302, 25394.6, si10
51, 21602, 24515.308, si10
52, 21898, 24014.811, si10
53, 22282, 26674.892, si10
54, 22513, 25149.083, si10
55, 22834, 26924.077, si10
56, 23104, 25671.051, si10
57, 23465, 26327.405, si10
58, 23768, 23325.351, si10
59, 24094, 23298.162, si10
60, 24402, 24570.692, si10
61, 24821, 25478.711, si10
62, 25198, 28423.474, si10
63, 25693, 27514.775, si10
64, 26005, 29774.553, si10
65, 26351, 26274.947, si10
66, 26739, 24940.718, si10
67, 27154, 29832.289, si10
68, 27525, 26674.611, si10
69, 27912, 28432.297, si10
70, 28294, 26845.105, si10
71, 28832, 29722.564, si10
72, 29186, 29122.605, si10
73, 29684, 29533.053, si10
74, 30098, 26990.568, si10
75, 30612, 28144.162, si10
76, 31019, 31755.4, si10
77, 31435, 29529.105, si10
78, 31940, 29954.711, si10
79, 32439, 36388.658, si10
80, 33035, 36802.897, si10
81, 33731, 33142.528, si10
82, 34383, 31706.838, si10
83, 34954, 34669.895, si10
84, 35572, 31340.718, si10
85, 36141, 35527.949, si10
86, 36624, 38225.583, si10
87, 37280, 36317.784, si10
88, 38222, 36230.718, si10
89, 39075, 34426.158, si10
90, 40091, 33332.027, si10
91, 41221, 36737.718, si10
92, 42322, 34728, si10
93, 43351, 37340.436, si10
94, 44642, 41323.051, si10
95, 46834, 39391.282, si10
96, 49338, 39342.5, si10
97, 52254, 39373.256, si10
98, 56823, 46581.795, si10
99, 63622, 51570.378, si10
100, ., 48747.842, si10
1, 2274, 51863.568, au10
2, 9858, 42690.011, au10
3, 13143, 31238.738, au10
4, 15163, 34997.794, au10
5, 16115, 29264.255, au10
6, 16898, 28279.933, au10
7, 17315, 28351.479, au10
8, 17367, 28253.52, au10
9, 17842, 30738.411, au10
10, 18045, 28210.279, au10
11, 18149, 32344.747, au10
12, 18563, 32428.874, au10
13, 19135, 29723.701, au10
14, 19782, 30549.434, au10
15, 20447, 31943.192, au10
16, 21225, 34173.198, au10
17, 22164, 33585.702, au10
18, 23182, 35529.569, au10
19, 24041, 34308.76, au10
20, 24874, 35944.413, au10
21, 25943, 38332.342, au10
22, 26249, 39414.087, au10
23, 26791, 41210.496, au10
24, 27156, 38384.381, au10
25, 27739.5, 42083.091, au10
26, 28376, 39579.38, au10
27, 28915, 42185.588, au10
28, 29487, 38372.547, au10
29, 30180, 41677.315, au10
30, 30900, 45537.064, au10
31, 31493, 42510.858, au10
32, 32161, 41988.937, au10
33, 32839, 40580.348, au10
34, 33665, 48229.709, au10
35, 34575, 44478.663, au10
36, 35234, 41803.394, au10
37, 36071, 42518.306, au10
38, 36903, 45068.5, au10
39, 37798, 45906.755, au10
40, 38715, 44439.844, au10
41, 39543, 47453.664, au10
42, 40355, 47135.489, au10
43, 41223, 48805.452, au10
44, 42120, 48182.813, au10
45, 43111, 48049.057, au10
46, 44267, 51005.721, au10
47, 45341, 47252.31, au10
48, 46204, 47905.011, au10
49, 47306, 54943.937, au10
50, 48375, 52252.976, au10
51, 49492, 53895.244, au10
52, 50671, 53874.939, au10
53, 51878, 55500.684, au10
54, 53256, 58119.539, au10
55, 54481, 52009.805, au10
56, 55903, 54083.835, au10
57, 57236, 61611.024, au10
58, 58691, 58797.063, au10
59, 60222, 60136.034, au10
60, 61612, 62057.602, au10
61, 63087, 59365.28, au10
62, 64366, 58832.214, au10
63, 65705, 62843.079, au10
64, 67141, 65272.456, au10
65, 68861, 67590.321, au10
66, 70227, 69010.414, au10
67, 71976, 69962.524, au10
68, 73653, 66610.658, au10
69, 75300, 69033.112, au10
70, 77063, 67966.674, au10
71, 78534, 75827.064, au10
72, 80136, 71004.244, au10
73, 82114, 72044.243, au10
74, 83937, 71703.218, au10
75, 85766.5, 71803.714, au10
76, 87618, 72697.462, au10
77, 89316, 78815.615, au10
78, 91108, 76418.195, au10
79, 93233, 82027.452, au10
80, 95580, 85643.538, au10
81, 97836, 87242.556, au10
82, 99989, 80368.938, au10
83, 102695, 87007.205, au10
84, 105453, 89514.78, au10
85, 108006, 83936.024, au10
86, 111134, 95201.596, au10
87, 114372, 92944.837, au10
88, 118473, 91688.667, au10
89, 122470, 105514.99, au10
90, 126815, 97748.067, au10
91, 132239, 103541.41, au10
92, 137475, 105520.77, au10
93, 142826, 105070.82, au10
94, 150186, 108343.58, au10
95, 158557, 105270.54, au10
96, 168410, 111724.6, au10
97, 184558, 111841.39, au10
98, 207634, 130049.74, au10
99, 256992, 146833.33, au10
100, ., 203176.1, au10
