quantile, percentile, educ_rate, ccyy
87, 36752, .05804063, pe10
88, 38296, .06347339, pe10
89, 39939, .06347355, pe10
90, 42000, .05593168, pe10
91, 44153, .0650559, pe10
92, 46421, .05825202, pe10
93, 49186, .06380923, pe10
94, 52194, .06264929, pe10
95, 56357, .0639487, pe10
96, 62213, .06327071, pe10
97, 69358, .07061375, pe10
98, 80549, .06833901, pe10
99, 103403, .0661868, pe10
100, ., .07474209, pe10
1, 4963, .00451785, rs10
2, 60000, .00371896, rs10
3, 86318, .00006862, rs10
4, 100800, .00421225, rs10
5, 114000, 0, rs10
6, 124800, .00566501, rs10
7, 133471, .00009237, rs10
8, 144000, .00008772, rs10
9, 148934, 0, rs10
10, 156132, .00019786, rs10
11, 166578, .00019405, rs10
12, 175870, 0, rs10
13, 180000, .00028665, rs10
14, 188076, .00001882, rs10
15, 192000, .00157844, rs10
16, 199129, .00009597, rs10
17, 204000, 0, rs10
18, 214400, .00016799, rs10
19, 216000, 0, rs10
20, 224104, .00037364, rs10
21, 233572, .00019282, rs10
22, 240000, .00053982, rs10
23, 240000, ., rs10
24, 247200, .00576052, rs10
25, 252000, .00138044, rs10
26, 262008, .00061884, rs10
27, 264000, 0, rs10
28, 270524, 0, rs10
29, 278400, .00013873, rs10
30, 285738, .00196564, rs10
31, 292506, .00124183, rs10
32, 300000, .00268081, rs10
33, 301811, .00105896, rs10
34, 312000, .00053622, rs10
35, 321791, 0, rs10
36, 332780, .00250899, rs10
37, 342000, .00135983, rs10
38, 351831, .00289779, rs10
39, 360000, .00364169, rs10
40, 360000, ., rs10
41, 368008, .00180062, rs10
42, 375828, .00110668, rs10
43, 384000, .00423765, rs10
44, 389382, 0, rs10
45, 397680, .0029298, rs10
46, 408000, .00288763, rs10
47, 416143, .00025455, rs10
48, 422433, .0106275, rs10
49, 432000, .00381086, rs10
50, 442308, .00066125, rs10
51, 454792, .00221978, rs10
52, 457176, .00409973, rs10
53, 468000, .00020909, rs10
54, 478073, .00072191, rs10
55, 480000, .00358515, rs10
56, 486000, .00057588, rs10
57, 494400, 0, rs10
58, 504000, .00166229, rs10
59, 513000, .00093084, rs10
60, 528000, .00629181, rs10
61, 534680, .00360301, rs10
62, 540000, .0010313, rs10
63, 552000, .00139066, rs10
64, 564000, .00103417, rs10
65, 576000, .00975329, rs10
66, 588000, .00188289, rs10
67, 600000, .00472675, rs10
68, 609600, .00483606, rs10
69, 623271, .00334847, rs10
70, 631314, .01420596, rs10
71, 645600, .00384793, rs10
72, 660000, .00469871, rs10
73, 672000, .01460596, rs10
74, 685183, .00962873, rs10
75, 701959, .0050449, rs10
76, 719680, .01226812, rs10
77, 724964, .0149647, rs10
78, 742611, .0084215, rs10
79, 754400, .00272521, rs10
80, 768000, .00528529, rs10
81, 781946, .00217774, rs10
82, 804000, .00066982, rs10
83, 828000, .00524539, rs10
84, 848851, .01014007, rs10
85, 878111, .0093905, rs10
86, 900000, .0053794, rs10
87, 923046, .00811599, rs10
88, 954240, .00437132, rs10
89, 972000, .01286737, rs10
90, 1012800, .00637113, rs10
91, 1044000, .0057601, rs10
92, 1083236, .01083219, rs10
93, 1140000, .0101833, rs10
94, 1200000, .00610171, rs10
95, 1245240, .00522605, rs10
96, 1322275, .00310257, rs10
97, 1440000, .01675323, rs10
98, 1566863, .00524646, rs10
99, 1902000, .00477782, rs10
100, ., .00493101, rs10
1, 1641, .00009003, si10
2, 2824, .00681422, si10
3, 4010, .00005277, si10
4, 4978, .00174882, si10
5, 5686, .00004922, si10
6, 6113, 0, si10
7, 6540, .00083569, si10
8, 6966, .00187179, si10
9, 7574, 0, si10
10, 7906, .00246475, si10
11, 8478, .00738911, si10
12, 8810, .00017705, si10
13, 9208, 0, si10
14, 9618, 0, si10
15, 10001, .0057164, si10
16, 10329, .00396163, si10
17, 10824, .00423144, si10
18, 11223, .0005273, si10
19, 11547, .00163619, si10
20, 11913, .00154702, si10
21, 12257, .00368281, si10
22, 12617, .00102625, si10
23, 12953, .00279434, si10
24, 13308, .00322739, si10
25, 13552.5, .00395659, si10
26, 13959, .00257847, si10
27, 14254, .00227135, si10
28, 14614, .00385271, si10
29, 14869, .00203344, si10
30, 15181, .00286966, si10
31, 15530, .0029883, si10
32, 15758, .00374793, si10
33, 16005, .00820873, si10
34, 16254, .0056569, si10
35, 16647, .00133234, si10
36, 16946, .00204755, si10
37, 17275, .01024381, si10
38, 17585, .00417183, si10
39, 17899, .00782183, si10
40, 18203, .00341657, si10
41, 18450, .00519416, si10
42, 18784, .00192511, si10
43, 19107, .01098801, si10
44, 19425, .00476827, si10
45, 19708, .00308044, si10
46, 19999, .00653929, si10
47, 20309, .00847463, si10
48, 20622, .00721108, si10
49, 20987, .00596378, si10
50, 21302, .01458207, si10
51, 21602, .0055826, si10
52, 21898, .00551469, si10
53, 22282, .00494525, si10
54, 22513, .00558104, si10
55, 22834, .00336091, si10
56, 23104, .00421103, si10
57, 23465, .01449084, si10
58, 23768, .00959749, si10
59, 24094, .00717001, si10
60, 24402, .00638158, si10
61, 24821, .01144983, si10
62, 25198, .01363721, si10
63, 25693, .00531285, si10
64, 26005, .00412768, si10
65, 26351, .01283756, si10
66, 26739, .01099968, si10
67, 27154, .00646054, si10
68, 27525, .01579575, si10
69, 27912, .01009367, si10
70, 28294, .00746229, si10
71, 28832, .00777103, si10
72, 29186, .00782525, si10
73, 29684, .00914196, si10
74, 30098, .0198067, si10
75, 30612, .01775381, si10
76, 31019, .01123974, si10
77, 31435, .00755736, si10
78, 31940, .00884216, si10
79, 32439, .00759478, si10
80, 33035, .01424701, si10
81, 33731, .00890657, si10
82, 34383, .01375728, si10
83, 34954, .01519207, si10
84, 35572, .00533704, si10
85, 36141, .01057284, si10
86, 36624, .01065299, si10
87, 37280, .01635379, si10
88, 38222, .00569293, si10
89, 39075, .01315863, si10
90, 40091, .01004136, si10
91, 41221, .008503, si10
92, 42322, .01097017, si10
93, 43351, .00799868, si10
94, 44642, .00875123, si10
95, 46834, .00254062, si10
96, 49338, .01184306, si10
97, 52254, .00802086, si10
98, 56823, .01328958, si10
99, 63622, .00538604, si10
100, ., .00919901, si10
1, 2274, .01562054, au10
2, 9858, .00458805, au10
3, 13143, .00171657, au10
4, 15163, .00452806, au10
5, 16115, .00220223, au10
6, 16898, .00300307, au10
7, 17315, .00120832, au10
8, 17367, .00106558, au10
9, 17842, .00203541, au10
10, 18045, .00089504, au10
11, 18149, .00003973, au10
12, 18563, .0002018, au10
13, 19135, .00228382, au10
14, 19782, .00173766, au10
15, 20447, .0051364, au10
16, 21225, .00034397, au10
17, 22164, .00457866, au10
18, 23182, .00257078, au10
19, 24041, .00271696, au10
20, 24874, .00386628, au10
21, 25943, .00664287, au10
22, 26249, .00133559, au10
23, 26791, .00653538, au10
24, 27156, .00229087, au10
25, 27739.5, .00103506, au10
26, 28376, .00457016, au10
27, 28915, .00514434, au10
28, 29487, .00259881, au10
29, 30180, .00111618, au10
30, 30900, .0020464, au10
31, 31493, .00628862, au10
32, 32161, .00679914, au10
33, 32839, .00314434, au10
34, 33665, .00613354, au10
35, 34575, .00491087, au10
36, 35234, .00823811, au10
37, 36071, .00372292, au10
38, 36903, .00976516, au10
39, 37798, .00485984, au10
40, 38715, .01062312, au10
41, 39543, .01529702, au10
42, 40355, .00469337, au10
43, 41223, .01781907, au10
44, 42120, .00789108, au10
45, 43111, .01093686, au10
46, 44267, .00742747, au10
47, 45341, .0063587, au10
48, 46204, .01219593, au10
49, 47306, .00598175, au10
50, 48375, .00456739, au10
51, 49492, .01958605, au10
52, 50671, .00478261, au10
53, 51878, .02306909, au10
54, 53256, .02040598, au10
55, 54481, .01766833, au10
56, 55903, .00894111, au10
57, 57236, .01907939, au10
58, 58691, .02082185, au10
59, 60222, .01930062, au10
60, 61612, .01114208, au10
61, 63087, .01053352, au10
62, 64366, .01778535, au10
63, 65705, .02131022, au10
64, 67141, .02110433, au10
65, 68861, .01948631, au10
66, 70227, .02160621, au10
67, 71976, .02251197, au10
68, 73653, .01662168, au10
69, 75300, .01700803, au10
70, 77063, .02607844, au10
71, 78534, .01813041, au10
72, 80136, .01430964, au10
73, 82114, .01681806, au10
74, 83937, .02032819, au10
75, 85766.5, .02184444, au10
76, 87618, .02291101, au10
77, 89316, .03060056, au10
78, 91108, .01621192, au10
79, 93233, .01569465, au10
80, 95580, .01728923, au10
81, 97836, .03101577, au10
82, 99989, .0164464, au10
83, 102695, .01657136, au10
84, 105453, .02074314, au10
85, 108006, .02114403, au10
86, 111134, .03786475, au10
87, 114372, .02744613, au10
88, 118473, .01885526, au10
89, 122470, .0374185, au10
90, 126815, .03272952, au10
91, 132239, .02154066, au10
92, 137475, .03126967, au10
93, 142826, .02078421, au10
94, 150186, .03401899, au10
95, 158557, .02736879, au10
96, 168410, .03070149, au10
97, 184558, .02535966, au10
98, 207634, .02874757, au10
99, 256992, .02603458, au10
100, ., .07286616, au10
