quantile, ccyy, threshold, hc, hnceduc, hceduc, hmceduc, hcmed, hcbgiftg, hncbgiftg
34, fr10, 19892, 24000.993, 0, 26.923567, 26.923567, 356.20382, 0, 0
35, fr10, 20303, 24519.364, 0, 74.06962, 74.06962, 341.61392, 0, 0
36, fr10, 20678, 22844.387, 37.974684, 133.61392, 95.639241, 309.20253, 36.075949, 36.075949
37, fr10, 21098, 24146.949, 0, 46.860759, 46.860759, 317.94937, 0, 0
38, fr10, 21548, 25251.204, 9.4936709, 85.386076, 75.892405, 387.62658, 0, 0
39, fr10, 21937, 26871.326, 0, 72.367089, 72.367089, 298.91139, 0, 0
40, fr10, 22379, 25946.908, 0, 75.006329, 75.006329, 279.86076, 0, 0
41, fr10, 22855, 27019.132, 0, 45.468354, 45.468354, 276.5, 0, 0
42, fr10, 23318, 24943.362, 18.987342, 91.468354, 72.481013, 561.71519, 0, 0
43, fr10, 23844, 25251.604, 0, 34.537975, 34.537975, 323.21519, 7.5949367, 7.5949367
44, fr10, 24269, 26525.324, 0, 50.708861, 50.708861, 289.89241, 13.291139, 13.291139
45, fr10, 24733, 27003.951, 151.89873, 199.93671, 48.037975, 396.25316, 0, 0
46, fr10, 25181, 28036.557, 0, 31.803797, 31.803797, 415.36076, 0, 0
47, fr10, 25654, 27077.993, 1.8987342, 72.531646, 70.632911, 407.16456, 0, 0
48, fr10, 26086, 28746.204, 0, 98.936709, 98.936709, 381.18354, 0, 0
49, fr10, 26540, 29122.993, 0, 54.550633, 54.550633, 358.03165, 0, 0
50, fr10, 27006, 27753.585, 5.6962025, 100.12658, 94.43038, 330.71519, 1.8987342, 1.8987342
51, fr10, 27492, 29869.879, 0, 110.34177, 110.34177, 356.53797, 0, 0
52, fr10, 27996, 29722.345, 9.4936709, 238.5443, 229.05063, 352.17722, 5.6962025, 5.6962025
53, fr10, 28488, 29624.705, 0, 104.73418, 104.73418, 378.06329, 0, 0
54, fr10, 28973, 30386.293, 1.8987342, 53.765823, 51.867089, 377.8481, 0, 0
55, fr10, 29480, 31676.604, 0, 116.37107, 116.37107, 446.13208, 0, 0
56, fr10, 29985, 30280.897, 0, 81.452229, 81.452229, 440.6051, 0, 0
57, fr10, 30570, 31942.841, 1.8987342, 92.126582, 90.227848, 543.46203, 0, 0
58, fr10, 31152, 31486.646, 0, 108.37342, 108.37342, 401.35443, 0, 0
59, fr10, 31666, 32748.784, 0, 171.58491, 171.58491, 423.22013, 0, 0
