quantile, ccyy, threshold, hc, hceduc, hcmed
16, pe10, 3018, 9702.9906, 426.60849, 833.63679
17, pe10, 3251, 8809.717, 337.13208, 562.88208
18, pe10, 3507, 8952.9155, 326.4554, 579.82629
19, pe10, 3756, 9579.2535, 301.44131, 756.82629
20, pe10, 3999, 9232.3803, 370.56808, 603.40376
21, pe10, 4232, 9792.3555, 319.3128, 768.92417
22, pe10, 4497, 10379.835, 363.84906, 705.82075
23, pe10, 4764, 9189.2347, 314.74178, 476.66667
24, pe10, 5013, 11007.552, 441.82075, 775.57075
25, pe10, 5264.5, 10556.123, 393.41232, 690.24171
26, pe10, 5515, 11171.601, 369.11737, 814.99531
27, pe10, 5812, 11644.703, 434.23113, 862.09906
28, pe10, 6102, 11766.788, 381.46226, 946.54245
29, pe10, 6386, 11175.252, 333.10748, 848.42991
30, pe10, 6681, 11920.635, 505.81043, 825.94313
31, pe10, 7013, 11852.58, 489.75943, 795.01887
32, pe10, 7292, 12932.248, 604.40654, 1006.6028
33, pe10, 7572, 12455.829, 494.24171, 828.47867
34, pe10, 7870, 12681.453, 546.44393, 808.76636
35, pe10, 8176, 12534.19, 499.29384, 790.99052
36, pe10, 8455, 13581.236, 586.49528, 995.94811
37, pe10, 8783, 13658.533, 568.22642, 829.04245
38, pe10, 9065, 14191.566, 579.25, 940.08491
39, pe10, 9418, 14821.142, 653.46226, 1102.0519
40, pe10, 9684, 14593.135, 491.46512, 1222.3023
41, pe10, 10004, 14709.128, 620.4455, 1095.0569
42, pe10, 10293, 14534.637, 585.87736, 935.26415
43, pe10, 10602, 14277.042, 581.88263, 879.99531
44, pe10, 10926, 15324.557, 580.79245, 1118.1368
45, pe10, 11225, 15814.566, 642.32547, 1129.783
46, pe10, 11574, 16613.341, 718.18009, 1125.891
47, pe10, 11927, 17107.481, 782.55607, 1337.0421
48, pe10, 12303, 16860.038, 751.14151, 1007.5849
49, pe10, 12607, 17121.081, 841.58294, 1490.2701
50, pe10, 12918, 16514.313, 627.35047, 1071.8458
51, pe10, 13272, 17938.75, 757.78774, 1150.9434
52, pe10, 13578, 17431.915, 718.02844, 1262.8341
53, pe10, 13946, 18203.612, 909.70561, 1121.4299
54, pe10, 14274, 19372.351, 987.64929, 1316.6777
55, pe10, 14657, 18473.821, 888.75472, 1298.217
56, pe10, 15048, 18332.533, 857.34434, 1450.3208
57, pe10, 15465, 19114.901, 985.69014, 1488.6573
58, pe10, 15825, 19639.689, 832.57547, 1442.4292
59, pe10, 16228, 19084.486, 970.34906, 1261.3208
60, pe10, 16673, 20540.606, 1001.9014, 1352.9061
61, pe10, 17184, 20822.755, 1052.6934, 1464.5236
62, pe10, 17664, 21338.071, 1053.8019, 1590.7547
